MONTH,DAY,MONTH/DAY,AVG MAX DAY,MAX MAX DAY,MAX DAY YEAR,AVG MIN DAY,MIN MIN DAY,MIN DAY YEAR
1,1,1/1,23.97,33.3,2020,22.85,17.8,2007
1,2,1/2,23.35,33.4,2015,22.37,16.6,2012
1,3,1/3,23.27,35.6,2014,22.21,15.5,2012
1,4,1/4,23.02,32.5,2010,21.98,16.2,2009
1,5,1/5,23.17,32.4,2013,22.08,15.4,2009
1,6,1/6,23.6,32,2016,22.44,15.6,2009
1,7,1/7,23.75,33.6,2015,22.64,16.3,2018
1,8,1/8,23.77,34.3,2016,22.58,17.1,2022
1,9,1/9,23.87,34.5,2019,22.75,16.3,2022
1,10,1/10,24.16,34.2,2015,23.14,16.3,2022
1,11,1/11,24.22,35.1,2015,23.1,16.7,2013
1,12,1/12,23.84,35.4,2015,22.79,16,2013
1,13,1/13,23.73,35,2015,22.69,16.5,2014
1,14,1/14,23.82,34.1,2015,22.65,17.6,2013
1,15,1/15,23.4,33,2015,22.4,17.9,2013
1,16,1/16,23.71,33.3,2015,22.46,17.6,2007
1,17,1/17,23.3,35.6,2015,22.25,15.7,2016
1,18,1/18,23.85,36.2,2015,22.74,17.1,2020
1,19,1/19,23.77,36.6,2015,22.63,17.7,2016
1,20,1/20,23.31,36.7,2015,22.26,16.7,2008
1,21,1/21,22.78,33.7,2019,21.79,16.3,2008
1,22,1/22,22.28,33.7,2022,21.25,15.4,2008
1,23,1/23,22.61,33.8,2022,21.54,15,2008
1,24,1/24,23.18,34,2018,22,16.4,2008
1,25,1/25,23.78,32.8,2014,22.64,16.7,2020
1,26,1/26,23.31,33.1,2016,22.3,16,2020
1,27,1/27,23.36,33.6,2014,22.35,15.5,2012
1,28,1/28,23.7,33.8,2019,22.62,14.7,2012
1,29,1/29,23.88,34.1,2014,22.9,15.4,2012
1,30,1/30,23.69,35.5,2019,22.62,14.4,2012
1,31,1/31,24.13,34.7,2014,23.05,15.6,2012
2,1,2/1,24.64,35.9,2014,23.39,18.1,2018
2,2,2/2,24.57,35.7,2019,23.4,18.7,2012
2,3,2/3,24.33,34.9,2014,23.17,18,2015
2,4,2/4,23.47,34.6,2014,22.44,16.8,2018
2,5,2/5,23.93,35.7,2014,22.79,17,2019
2,6,2/6,23.72,35.7,2014,22.63,16.8,2019
2,7,2/7,23.81,36.5,2014,22.64,16.8,2015
2,8,2/8,24.22,36.3,2014,22.99,17,2021
2,9,2/9,24.51,36.1,2014,23.3,17,2022
2,10,2/10,24.27,34.9,2014,23.12,16.5,2022
2,11,2/11,24.13,33.3,2014,23.03,16.2,2020
2,12,2/12,24.09,32.7,2014,23.01,16.9,2020
2,13,2/13,23.48,33.7,2014,22.46,15.9,2007
2,14,2/14,23.76,33.6,2010,22.57,16.6,2020
2,15,2/15,23.54,33.4,2010,22.53,17.1,2007
2,16,2/16,23.46,32.8,2013,22.39,16.9,2018
2,17,2/17,23.93,33.5,2017,22.75,17.5,2008
2,18,2/18,23.78,34,2013,22.62,17.2,2008
2,19,2/19,24.23,34.3,2017,23.04,16.9,2022
2,20,2/20,24.6,33.9,2017,23.39,16.3,2011
2,21,2/21,24.59,32.4,2011,23.44,17.6,2011
2,22,2/22,24.44,33.1,2017,23.23,16.9,2020
2,23,2/23,24.43,32.9,2010,23.32,16,2020
2,24,2/24,24.31,32.6,2019,23.1,17.7,2020
2,25,2/25,23.57,32.6,2022,22.47,17.6,2018
2,26,2/26,23.18,33.2,2014,22.07,17.8,2010
2,27,2/27,23.1,33.4,2014,22.08,15.6,2020
2,28,2/28,23.09,32.9,2022,22.1,16.7,2020
2,29,2/29,22.28,33.6,2012,21.49,17.3,2008
3,1,3/1,23.25,34,2009,22.24,16.1,2010
3,2,3/2,23.47,33.1,2009,22.43,16.5,2010
3,3,3/3,23.29,33.1,2022,22.27,16.2,2011
